Code,Mounted,Date_iso,Date_ext,Date_amp,Family,Sequence,L1,R1,L2,R2,L3,R3,L4,R4,L5,R5,L6,R6,L7,R7,L8,R8,L9,R9,L10,R10,Clade,Notes,,
JP011C,N,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP012A,Y,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP012B,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP012C,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP012D,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP012E,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP013A,Y,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP013B,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP014A,Y,2023-12-13,45352,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP014B,Y,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP014C,Y,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP014D,N,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP014E,N,2023-12-13,2024-03-01,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
JP015A,Y,2024-01-31,2023-02-27,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015B,Y,2024-01-31,2023-02-27,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015C,N,2024-01-31,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015D,N,2024-01-31,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015E,N,2024-01-31,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015F,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015G,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015H,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015I,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015J,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015K,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015L,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015M,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015N,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015O,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015P,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015Q,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
JP015R,,,,,Physidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
MW001A,Y,45264,45308,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW001B,Y,2023-12-04,2024-01-17,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW001C,N,2023-12-04,2024-01-17,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW003A,Y,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW003B,N,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW003C,Y,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW003D,N,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW003E,N,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW004A,Y,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW004B,Y,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
MW004C,N,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
PG001A,Y,2023-11-29,44943,,Lymnaeidae,CO1,4,4,8,8,10,10,,9,15,14,14,13,10,14,,14,,13,,,,,,
PG002A,N,2023-11-29,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
PG003A,Y,2023-12-13,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG003B,Y,2023-12-13,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG003C,N,2023-12-13,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG003D,N,2023-12-13,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG003E,N,2023-12-13,2024-03-01,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG007A,Y,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG007B,Y,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG007C,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG007D,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
PG007E,N,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
PG008A,Y,2024-01-31,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,1,,,
PG009A,N,2023-11-29,x,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
PG009B,Y,2023-11-29,x,,Lymnaeidae,CO1,4,5,6,8,12,12,13,12,14,14,14,14,15,,,,,,,,,,,
PG011A,Y,2023-11-29,45330,,Physidae,CO1,4,,6,,,10,,9,,10,8,,6,5,,,,,,,,,,
PG013A,N,2024-01-23,,,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
RP001A,N,2023-11-29,45330,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,Probably not Chaeto,,
RP001B,Y,2023-11-29,2024-02-08,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
RP002A,N,2023-11-29,2023-01-17,,Lymnaeidae,CO1,,,,,,,,,,,,,,,,,,,,,,Weird and mushy,,
SM001A,Y,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
SM001B,Y,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
SM001C,Y,2024-02-13,,,Planorbidae,CO1,6,6,10,,8,,11,,12,,,,,,,,,,,,2,,,
SM001D,Y,2024-02-13,,,Planorbidae,CO1,4,,7,,7,,16,,14,13,16,,,,,,,,,,2,,,
SM001E,N,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
SM001F,N,2024-02-13,,,Planorbidae,CO1,,,,,,,,,,,,,,,,,,,,,2,,,
TM001A,Y,2023-10-25,45232,45259,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
TM001B,F,2023-10-25,2023-11-02,2023-11-29,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
TM001C,N,2023-10-25,2023-11-02,2023-11-29,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
TM001D,N,2023-10-25,2023-11-02,2023-11-29,Physidae,CO1,,,,,,,,,,,,,,,,,,,,,,,,
WA001A,Y,2023-10-06,2023-10-20,,Lymnaeidae,Genome,4,,7,,11,,14,,14,,13,,,,,,,,,,,,,
WA001B,Y,2023-10-06,2023-10-23,,Lymnaeidae,Genome,4,,6,,8,,13,,14,14,14,,,,,,,,,,,,,
WA001C,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001D,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001E,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001F,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001G,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
WA001H,N,2024-02-06,2023-03-01,,Lymnaeidae,Genome,,,,,,,,,,,,,,,,,,,,,,,,
